¿Dónde está el baño?	卫生间 在 哪里？?
¿Dónde está la estación de tren?	火车站 在 哪里？?
¿Dónde está el aeropuerto?	机场 在 哪里？?
¿Dónde está la estación de autobuses?	哪里 是 汽车站？?
¿Dónde está la parada de taxis?	哪里 是 出租车 停靠点？?
¿Dónde está la parada de autobús?	请问 公交车站 在 哪里？?
¿Dónde está la estación de metro?	地铁站 在 哪里？?
¿Dónde está el hotel?	酒店 在 哪里？?
¿Dónde está el hostal?	请问 旅馆 在 哪里？?
¿Dónde está la recepción?	在 哪里 是 接待处？?
¿Dónde está el mostrador de información?	请问 信息 台 在 哪里？?
¿Dónde está el centro de información turística?	请问 游客 信息中心 在 哪里？?
¿Dónde está la embajada?	大使馆 在 哪里？?
¿Dónde está el consulado?	大使馆 在 哪里？?
¿Dónde está la estación de policía?	警察局 在 哪里？?
¿Dónde está el hospital?	医院 在 哪里？?
¿Dónde está la clínica?	在 哪里 是 诊所？?
¿Dónde está la farmacia?	哪里 是 药店？?
¿Dónde está el dentista?	哪里 是 牙医？?
¿Dónde está el doctor?	医生 在 哪里？?
¿Dónde está la biblioteca?	图书馆 在 哪里？?
¿Dónde está el museo?	博物馆 在 哪里？?
¿Dónde está la galería de arte?	哪里 是 美术馆？?
¿Dónde está el teatro?	哪里 是 剧院？?
¿Dónde está el cine?	哪里 是 电影院？?
¿Dónde está el parque?	公园 在 哪里？?
¿Dónde está el parque infantil?	哪里 是 儿童公园？?
¿Dónde está el estadio?	哪里 是 体育场？?
¿Dónde está la playa?	哪里 是 海滩？?
¿Dónde está el banco?	银行 在 哪里？?
¿Dónde está el cajero automático?	自动 取款机 在 哪里？?
¿Dónde está el supermercado?	超市 在 哪里？?
¿Dónde está la tienda de comestibles?	哪里 有 超市？?
¿Dónde está la tienda de conveniencia?	请问 便利店 在 哪里？?
¿Dónde está la panadería?	哪里 是 面包店？?
¿Dónde está el carnicero?	哪里 是 肉铺 老板？?
¿Dónde está el mercado?	哪里 是 市场？?
¿Dónde está el almacén de departamentos?	请问，百货商店 在 哪里？?
¿Dónde está la oficina de correos?	邮局 在 哪里？?
¿Dónde está el ayuntamiento?	市政厅 在 哪里？?
¿Dónde está el juzgado?	哪里 是 法院？?
¿Dónde está la universidad?	大学 在 哪里？?
¿Dónde está el centro comercial?	哪里 是 购物中心？?
¿Dónde está la escuela?	在 哪里 是 学校？?
¿Dónde está el aula?	教室 在 哪里？?
¿Dónde está la cafetería?	咖啡馆 在 哪里？?
¿Dónde está el restaurante?	餐厅 在 哪里？?
¿Dónde está el café?	咖啡 在 哪里？?
¿Dónde está la barra?	在 哪里 是 酒吧？?
¿Dónde está el estacionamiento?	哪里 是 停车场？?
¿Dónde está la gasolinera?	加油站 在 哪里？?
¿Dónde está la estación de carga?	哪里 是 充电站？?
¿Dónde está la renta de autos?	哪里 是 汽车 租赁 处？?
¿Dónde está la entrada?	哪里 是 入口？?
¿Dónde está la salida?	出口 在 哪里？?
¿Dónde está el ascensor?	请问 电梯 在 哪里？?
¿Dónde están las escaleras?	在 哪里 是 楼梯？?
¿Dónde está la taquilla?	售票处 在 哪里？?
¿Dónde está la puerta de embarque?	请问 登机口 在 哪里？?
¿Dónde está el reclamo de equipaje?	请问 行李 申报 处在 哪里？?
¿Dónde está el punto de control de seguridad?	安全检查 点 在 哪里？?
¿Dónde está la aduana?	海关 在 哪里？?
¿Dónde está la oficina de equipajes?	请问 行李 处在 哪里？?
¿Dónde está el puente?	桥 在 哪里？?
¿Dónde está el templo?	哪里 是 寺庙？?
¿Dónde está la mezquita?	哪里 是 清真寺？?
¿Dónde está el campamento?	哪里 是 营地？?
¿Dónde está la inmigración?	哪里 是 移民局？?
¿Dónde está la sinagoga?	synagoga 在 哪里？?
¿Dónde está el gimnasio?	健身房 在 哪里？?
¿Dónde está el parque de atracciones?	哪里 是 游乐园？?
¿Dónde está el acuario?	哪里 是 水族馆？?
¿Dónde está la barbería?	哪里 是 理发店？?
¿Dónde está el mirador?	观景台 在 哪里？?
¿Dónde está el spa?	哪里 是 水疗 中心？?
¿Dónde está la iglesia?	哪里 是 教堂？?
¿Dónde está el punto de encuentro?	见面 地点 在 哪里？?
