トイレ は どこ です か?	Where is the toilet?
空港 は どこ です か?	Where is the airport?
バス 停 は どこ です か?	Where is the bus stop?
駅 は どこ です か?	Where is the station?
地下 鉄 の 駅 は どこ です か?	Where is the subway station?
タクシー 乗り場 は どこ です か?	Where is the taxi stand?
ホテル は どこ です か?	Where is the hotel?
ホステル は どこ です か?	Where is the hostel?
受付 は どこ です か?	Where is the reception?
フロント デスク は どこ です か?	Where is the front desk?
インフォメーション は どこ です か?	Where is the information?
観光 案内 所 は どこ です か?	Where is the tourist information office?
大使 館 は どこ です か?	Where is the embassy?
領事 館 は どこ です か?	Where is the consulate?
警察 署 は どこ です か?	Where is the police station?
病院 は どこ です か?	Where is the hospital?
診療 所 は どこ です か?	Where is the clinic?
薬局 は どこ です か?	Where is the pharmacy?
歯 医者 さん は どこ です か?	Where is the dentist?
医師 は どこ です か?	Where is the doctor?
図書 館 は どこ です か?	Where is the library?
美術 館 は どこ です か?	Where is the art museum?
劇場 は どこ です か?	Where is the theater?
映画 館 は どこ です か?	Where is the movie theater?
公園 は どこ です か?	Where is the park?
スタジアム は どこ です か?	Where is the stadium?
ビーチ は どこ です か?	Where is the beach?
銀行 は どこ です か?	Where is the bank?
ATM は どこ です か?	Where is the ATM?
スーパーマーケット は どこ です か?	Where is the supermarket?
スーパー は どこ です か?	Where is the supermarket?
コンビニ は どこ です か?	Where is the convenience store?
パン 屋 さん は どこ です か?	Where is the bakery?
肉屋 さん は どこ です か?	Where is the butcher shop?
市場 は どこ です か?	Where is the market?
ショッピング モール は どこ です か?	Where is the shopping mall?
百貨 店 は どこ です か?	Where is the department store?
郵便 局 は どこ です か?	Where is the post office?
市 役所 は どこ です か?	Where is the city hall?
裁判 所 は どこ です か?	Where is the courthouse?
大学 は どこ です か?	Where is the university?
学校 は どこ です か?	Where is the school?
食堂 は どこ です か?	Where is the cafeteria?
レストラン は どこ です か?	Where is the restaurant?
カフェ は どこ です か?	Where is the cafe?
バー は どこ です か?	Where is the bar?
教室 は どこ です か?	Where is the classroom?
駐車 場 は どこ です か?	Where is the parking lot?
ガソリン スタンド は どこ です か?	Where is the gas station?
充電 ステーション は どこ です か?	Where is the charging station?
レンタカー は どこ です か?	Where is the car rental place?
入り口 は どこ です か?	Where is the entrance?
出口 は どこ です か?	Where is the exit?
階段 は どこ です か?	Where are the stairs?
エスカレーター は どこ です か?	Where is the escalator?
エレベーター は どこ です か?	Where is the elevator?
搭乗 ゲート は どこ です か?	Where is the boarding gate?
荷物 の 引き出し は どこ です か?	Where are the drawers for luggage?
切符 売場 は どこ です か?	Where is the ticket booth?
セキュリティー チェックポイント は どこ です か?	Where is the security checkpoint?
入国 は どこ です か?	Where is immigration?
ロッカー は どこ です か?	Where is the locker?
税関 は どこ です か?	Where is customs?
遊園 地 は どこ です か?	Where is the amusement park?
洗濯 は どこ です か?	Where is the laundry?
水族 館 は どこ です か?	Where is the aquarium?
キャンプ 場 は どこ です か?	Where is the campsite?
ジム は どこ です か?	Where is Jim?
川 は どこ です か?	Where is the river?
教会 は どこ です か?	Where is the church?
モスク は どこ です か?	Where is the mosque?
寺院 は どこ です か?	Where is the temple?
会議 の 場所 は どこ です か?	Where is the meeting place?
薬局 の カウンター は どこ です か?	Where is the counter at the drugstore?
動物 園 は どこ です か?	Where is the zoo?
理容 室 は どこ です か?	Where is the barbershop?
預かり 荷物 事務 所 は どこ です か?	Where is the office for receiving packages?
橋 は どこ です か?	Where is the bridge?
スパ は どこ です か?	Where are the spices?
美容 院 は どこ です か?	Where is the beauty salon?
大 聖堂 は どこ です か?	Where is the cathedral?
シナゴーグ は どこ です か?	Where is the synagogue?
見晴らし は どこ です か?	What is the view like?
受信 は どこ です か?	Where is the reception?
トイレ は どこ です か？?	Where is the toilet?
情報 デスク は どこ です か?	Where is the information desk?
展示 は どこ に あり ます か?	Where is the exhibition?
観光 案内 センター は どこ です か?	Where is the tourist information center?
大使 館 は どこ に あり ます か?	Where is the embassy?
警察 は どこ です か?	Where is the police station?
歯科 医院 は どこ です か?	Where is the dentist's office?
영사관은 어디에 있습니까?영사 館 は どこ に あり ます か?	Where is the embassy?
美術 館 は どこ に あり ます か?	Where is the art museum?
公園 は どこ に あり ます か?	Where is the park?
球場 は どこ です か?	Where is the stadium?
海辺 は どこ です か?	Where is the seashore?
놀이터 は どこ です か?	Where is the playground?
パン 屋 は どこ です か?	Where is the bakery?
精肉 店 は どこ です か?	Where is the butcher shop?
郵便 局 は どこ に あり ます か?	Where is the post office?
大学 は どこ に あり ます か?	Where is the university?
お 店 の 場所 は どこ です か?	Where is the store located?
술 屋 は どこ です か?	Where is the bar?
カフェ は どこ です か？?	Where is the cafe?
充電 所 は どこ です か?	Where is the charging station?
エレベーター は どこ に あり ます か?	Where is the elevator?
レンタカー は どこ に あり ます か?	Where is the rental car?
どこ に お 階 が あり ます か?	Where is the restroom?
看板 の 販売 所 は どこ です か?	Where is the sign shop?
安全 検査 台 は どこ に あり ます か?	Where is the safety inspection stand?
荷物 を 探す 場所 は どこ です か?	Where is the place to look for luggage?
이민 사무실은 어디에 있습니까?이민 사무실 は どこ に あり ます か?	Where is the immigration office?
教会 は どこ に あり ます か?	Where is the church?
洗濯 物 は どこ です か?	Where is the laundry?
遊園 地 は どこ に あり ます か?	Where is the amusement park?
会議 場 は どこ です か?	Where is the meeting room?
預け入れ の 窓口 は どこ です か?	Where is the deposit counter?
展望 台 は どこ に あり ます か?	Where is the viewing platform?
足 は どこ です か?	Where are your feet?
モスク は どこ に あり ます か?	Where is the mosque?
川 は どこ に あり ます か?	Where is the river?
美容 室 は どこ です か?	Where is the beauty salon?
寺院 は どこ に あり ます か?	Where is the temple?
헬스 ジム は どこ です か?	Where is the health gym?
スパ は どこ に あり ます か?	Where are the soaps?
空港 は どこ です か？?	Where is the airport?
駅 は どこ です か？?	Where is the station?
地下 鉄 は どこ です か？?	Where is the subway?
タクシー は どこ です か?	Where is the taxi?
旅館 は どこ です か?	Where is the inn?
情報 台 は どこ です か？?	Where is the information?
受付 は どこ です か？?	Where is the reception?
フロント は どこ です か?	Where is the front?
観光 案内 所 は どこ です か？?	Where is the tourist information office?
大使 館 は どこ です か？?	Where is the embassy?
領事 館 は どこ です か？?	Where is the consulate?
警察 署 は どこ です か？?	Where is the police station?
病院 は どこ です か？?	Where is the hospital?
薬店 は どこ です か？?	Where is the pharmacy?
博物 館 は どこ です か？?	Where is the museum?
映画 館 は どこ です か？?	Where is the movie theater?
歯 医者 さん は どこ です か？?	Where is the dentist?
公園 は どこ です か？?	Where is the park?
遊園 地 は どこ です か？?	Where is the amusement park?
体育 館 は どこ です か？?	Where is the gymnasium?
自動 預金 機 は どこ です か？?	Where is the automatic teller machine?
スーパー は どこ です か？?	Where is the supermarket?
銀行 は どこ です か？?	Where is the bank?
コンビニ は どこ です か？?	Where is the convenience store?
肉屋 は どこ です か?	Where is the butcher shop?
ショッピング センター は どこ です か？?	Where is the shopping center?
百貨 店 は どこ に あり ます か？?	Where is the department store?
市場 は どこ です か？?	Where is the market?
郵便 局 は どこ です か？?	Where is the post office?
教室 は どこ です か？?	Where is the classroom?
食堂 は どこ です か？?	Where is the cafeteria?
市 役所 は どこ です か？?	Where is the city hall?
喫茶 店 は どこ です か？?	Where is the coffee shop?
駐車 場 は どこ です か？?	Where is the parking lot?
ガソリン スタンド は どこ です か？?	Where is the gas station?
充電 ステーション は どこ です か？?	Where is the charging station?
自動 車 の レンタル は どこ です か？?	Where are car rentals?
どこ が 入り口 です か？?	Where is the entrance?
エレベーター は どこ です か？?	Where is the elevator?
出口 は どこ です か？?	Where is the exit?
切符 は どこ です か?	Where is the ticket?
搭乗 口 は どこ です か？?	Where is the boarding gate?
どこ が 階段 です か？?	Where are the stairs?
荷物 の 引き出し は どこ です か？?	Where are the drawers for the luggage?
検査 は どこ です か？?	Where is the examination?
海関 は どこ です か？?	Where is the customs office?
移民 局 は どこ です か？?	Where is the Immigration Office?
ロッカー は どこ です か？?	Where is the locker?
水族 館 は どこ か？?	Where is the aquarium?
フィットネス ジム は どこ です か？?	Where is the fitness gym?
荷物 預かり は どこ です か？?	Where is the baggage claim?
展望 台 は どこ です か？?	Where is the observation deck?
遊園 は どこ です か？?	Where is the amusement park?
ユダヤ 教 の 教会 は どこ です か？?	Where is the synagogue?
薬 房 の カウンター は どこ です か？?	Where is the counter in the pharmacy?
理容 店 は どこ です か？?	Where is the barbershop?
寺 は どこ です か?	Where is the temple?
キャンプ は どこ です か?	Where is the campsite?
洗濯 機 は どこ です か？?	Where is the washing machine?
会議 の 場所 は どこ です か？?	Where is the meeting place?
橋 は どこ です か？?	Where is the bridge?
温泉 は どこ です か？?	Where is the hot spring?
清真 寺 は どこ です か？?	Where is the Seijitsu-ji Temple?
展示 は どこ か？?	Where is the exhibit?
タクシー は どこ に 停車 し て い ます か？?	Where is the taxi stopped?
あなた の 受信 トレイ は どこ です か？?	Where is your inbox?
薬屋 は どこ です か？?	Where is the pharmacy?
医師 は どこ です か？?	Where is the doctor?
球場 は どこ です か？?	Where is the stadium?
情報 の 場所 は どこ です か？?	Where is the location of the information?
お 肉屋 さん、どこ です か？?	Where is the butcher shop?
海辺 は どこ です か？?	Where is the seashore?
コーヒー 店 は どこ です か？?	Where is the coffee shop?
車 の レンタル は どこ です か？?	Where are the car rentals?
お 店 は どこ です か?	Where is the store?
入り口 は どこ です か？?	Where is the entrance?
どこ に 階段 が あり ます か？?	Where are the stairs?
酒場 は どこ です か？?	Where is the bar?
書店 は どこ です か？?	Where is the bookstore?
荷物 は どこ です か？?	Where are the things?
安全 検査 は どこ です か？?	Where is the safety inspection?
移民 事務 局 は どこ です か?	Where is the Immigration Office?
服 は どこ です か？?	Where are the clothes?
薬局 の カウンター は どこ です か？?	Where is the counter at the drugstore?
動物 園 は どこ です か？?	Where is the zoo?
展望 台 は どこ です か?	Where is the observation deck?
荷物 係 は どこ です か？?	Where is the baggage claim?
会議 室 は どこ です か?	Where is the meeting room?
足 の どこ です か？?	Where is your foot?
電車 の 駅 は どこ です か?	Where is the train station?
地下 鉄 は どこ です か?	Where is the subway?
美容 院 は どこ です か？?	Where is the beauty salon?
タクシー のりば は どこ です か?	Where is the taxi stand?
情報 カウンター は どこ です か?	Where is the information counter?
映画 は どこ です か?	Where is the movie?
自動 販売 機 は どこ です か?	Where is the vending machine?
食料 品 店 は どこ です か?	Where is the grocery store?
ショッピング センター は どこ です か?	Where is the shopping center?
デパート は どこ です か?	Where is the department store?
コーヒー は どこ です か?	Where is the coffee?
搭乗 口 は どこ です か?	Where is the boarding gate?
チケット は どこ です か?	Where is the ticket?
荷物 の 預け入れ は どこ です か?	Where is the baggage claim?
セキュリティ チェックポイント は どこ です か?	Where is the security checkpoint?
荷物 の 預かり 場所 は どこ です か?	Where is the baggage claim area?
お 寺 は どこ です か?	Where is the temple?
移民 は どこ です か?	Where are the immigrants?
どこ に ある 清真 寺 です か?	Where is the mosque?
シナゴーガ は どこ です か?	Where is the synagogue?
待ち合わせ は どこ です か?	Where is the meeting place?
理髪 店 は どこ です か?	Where is the barbershop?
カテドラル は どこ です か?	Where is the cathedral?
どこ に お 洗濯 物 は あり ます か?	Where are the laundry clothes?
薬屋 の 箱 は どこ です か?	Where is the apothecary's box?
展示 は どこ です か?	Where is the exhibition?
受信 者 は どこ です か?	Who is the recipient?
歯科 クリニック は どこ です か?	Where is the dental clinic?
商業 施設 は どこ です か?	Where is the shopping mall?
交番 は どこ です か?	Where is the police box?
ポスター の 販売 店 は どこ です か?	Where is the poster shop?
荷物 を 預ける 場所 は どこ です か?	Where is the place to check luggage?
安全 検査 の チーム は どこ です か?	Where is the safety inspection team?
服 は どこ です か?	Where are the clothes?
どこ に あり ます か？?	Where are you?
移民 局 は どこ です か?	Where is the Immigration Office?
足 の どこ です か?	Where is your foot?
どこ に ある スパ です か?	Where is the spa?
修道 院 は どこ です か?	Where is the temple?
情報 センター は どこ です か?	Where is the information center?
観光 客 向け の インフォメーション センター は どこ です か	Where is the tourist information center
デパート は どこ に あり ます か?	Where is the department store?
車 rentals の お 店 は どこ です か?	Where is the car rental shop?
セキュリティ コントロール は どこ です か?	Where is the security control?
観覧 プラットフォーム は どこ です か?	Where is the observation platform?
洗濯 機 は どこ です か?	Where is the washing machine?
荷物 の クレーム カウンター は どこ です か?	Where is the baggage claim counter?
会議 は、どこ で 開催 さ れ ます か?	Where will the meeting be held?
どこ に 入力 箱 が あり ます か?	Where is the input box?
スーツケース は どこ です か?	Where is the suitcase?
温泉 は どこ です か?	Where is the hot spring?
どこ です か？?	Where is it?
書店 は どこ です か?	Where is the bookstore?
シャツ は どこ です か?	Where is the shirt?
安全 検査 の 駅 は どこ です か	Where is the safety inspection station
荷物 の カウンター は どこ です か?	Where is the baggage counter?
見張り 塔 は どこ です か?	Where is the watchtower?
スパ センター は どこ です か?	Where is the spa center?
