卫生间 在 哪里？?	Where is the restroom?
火车站 在 哪里？?	Where is the train station?
公交车站 在 哪里？?	Where is the bus stop?
机场 在 哪里？?	Where is the airport?
地铁站 在 哪里？?	Where is the subway station?
出租车 站 在 哪里？?	Where is the taxi stand?
酒店 在 哪里？?	Where is the hotel?
旅馆 在 哪里？?	Where is the inn?
接待处 在 哪里？?	Where is the reception desk?
前台 在 哪里？?	Where is the front desk?
请问 信息 台 在 哪里？?	Where is the information desk?
游客 信息中心 在 哪里？?	Where is the tourist information center?
领事馆 在 哪里？?	Where is the consulate?
大使馆 在 哪里？?	Where is the embassy?
警察局 在 哪里？?	Where is the police station?
哪里 有 药店？?	Where is the pharmacy?
医院 在 哪里？?	Where is the hospital?
诊所 在 哪里？?	Where is the clinic?
牙医 在 哪里？?	Where is the dentist?
医生 在 哪里？?	Where is the doctor?
图书馆 在 哪里？?	Where is the library?
博物馆 在 哪里？?	Where is the museum?
美术馆 在 哪里？?	Where is the art museum?
哪里 是 剧院？?	Where is the theater?
公园 在 哪里？?	Where is the park?
游乐场 在 哪里？?	Where is the playground?
电影院 在 哪里？?	Where is the cinema?
体育场 在 哪里？?	Where is the stadium?
海滩 在 哪里？?	Where is the beach?
自动 取款机 在 哪里？?	Where is the ATM?
超市 在 哪里？?	Where is the supermarket?
银行 在 哪里？?	Where is the bank?
哪里 有 超市？?	Where is the supermarket?
便利店 在 哪里？?	Where is the convenience store?
哪里 是 面包店？?	Where is the bakery?
屠夫 在 哪里？?	Where is the butcher?
市场 在 哪里？?	Where is the market?
购物中心 在 哪里？?	Where is the shopping mall?
哪里 有 百货商店？?	Where is the department store?
市政厅 在 哪里？?	Where is City Hall?
邮局 在 哪里？?	Where is the post office?
大学 在 哪里？?	Where is the university?
法院 在 哪里？?	Where is the court?
学校 在 哪里？?	Where is the school?
教室 在 哪里？?	Where is the classroom?
食堂 在 哪里？?	Where is the cafeteria?
餐厅 在 哪里？?	Where is the restaurant?
咖啡馆 在 哪里？?	Where is the coffee shop?
加油站 在 哪里？?	Where is the gas station?
酒吧 在 哪里？?	Where is the bar?
停车场 在 哪里？?	Where is the parking lot?
充电站 在 哪里？?	Where is the charging station?
哪里 有 汽车 租赁 处？?	Where is the car rental place?
出口 在 哪里？?	Where is the exit?
电梯 在 哪里？?	Where is the elevator?
哪 裡 是 入口？?	Where is the entrance?
哪里 是 楼梯？?	Where is the staircase?
自动扶梯 在 哪里？?	Where is the escalator?
售票处 在 哪里？?	Where is the ticket office?
登机口 在 哪里？?	Where is the gate?
行李 提取 处在 哪里？?	Where is the baggage claim?
安检 在 哪里？?	Where is the security checkpoint?
海关 在 哪里？?	Where is the customs office?
移民局 在 哪里？?	Where is the immigration office?
储 Locker 在 哪里？?	Where is the locker?
行李 寄存处 在 哪里？?	Where is the luggage storage?
水族馆 在 哪里？?	Where is the aquarium?
健身房 在 哪里？?	Where is the gym?
游乐园 在 哪里？?	Where is the amusement park?
教堂 在 哪里？?	Where is the church?
展望 台 在 哪里？?	Where is the viewing platform?
犹太教 堂 在 哪里？?	Where is the synagogue?
哪里 是 药房 柜台？?	Where is the pharmacy counter?
理发店 在 哪里？?	Where is the barbershop?
動 物 園 在 哪里？?	Where is the zoo?
哪里 是 寺庙？?	Where is the temple?
营地 在 哪里？?	Where is the camp?
洗衣机 在 哪里？?	Where is the washing machine?
清真寺 在 哪里？?	Where is the mosque?
会议 地点 在 哪里？?	Where is the meeting?
桥 在 哪里？?	Where is the bridge?
河流 在 哪里？?	Where is the river?
哪里 有 温泉？?	Where are the hot springs?
您 收件箱 在 哪里？?	Where is your inbox?
展览 在 哪里？?	Where is the exhibition?
出租车 停靠 处在 哪里？?	Where is the taxi stand?
信息 台 在 哪里？?	Where is the information desk?
旅游 咨询中心 在 哪里？?	Where is the tourist information center?
药店 在 哪里？?	Where is the pharmacy?
牙科医院 在 哪里？?	Where is the dental clinic?
医生 在 哪里 呢？?	Where is the doctor?
球场 在 哪里？?	Where is the stadium?
面包店 在 哪里？?	Where is the bakery?
请问 肉店 在 哪里？?	Where is the butcher shop?
海边 在 哪里？?	Where is the seaside?
商铺 在 哪里？?	Where is the shop?
法庭 在 哪里？?	Where is the courthouse?
酒馆 在 哪里？?	Where is the tavern?
汽车 租赁 在 哪里？?	Where are the car rentals?
咖啡店 在 哪儿？?	Where is the coffee shop?
请问 入口 在 哪里？?	Where is the entrance?
哪里 有 楼梯？?	Where is the staircase?
请问 书店 在 哪里？?	Where is the bookstore?
请问 行李 在 哪里？?	Where is the luggage?
移民 事务处 在 哪里？?	Where is the Immigration Office?
Locker 在 哪里？?	Where is the locker?
安全检查 台 在 哪里？?	Where is the security check station?
药店 柜台 在 哪里？?	Where is the pharmacy counter?
请问 衣服 在 哪里？?	Where are the clothes?
行李 办事处 在 哪里？?	Where is the baggage claim?
动物园 在 哪里？?	Where is the zoo?
瞭望台 在 哪里？?	Where is the watchtower?
会议室 在 哪里？?	Where is the meeting room?
腿 在 哪里？?	Where are the legs?
美发店 在 哪里？?	Where is the hair salon?
寺庙 在 哪里？?	Where is the temple?
水疗 馆 在 哪里？?	Where is the spa?
