卫生间 在 哪里？?	トイレ は どこ です か？?
机场 在 哪里？?	空港 は どこ です か？?
火车站 在 哪里？?	駅 は どこ です か？?
公交车站 在 哪里？?	バス 停 は どこ です か?
地铁站 在 哪里？?	地下 鉄 は どこ です か？?
出租车 站 在 哪里？?	タクシー は どこ です か?
酒店 在 哪里？?	ホテル は どこ です か?
旅馆 在 哪里？?	旅館 は どこ です か?
前台 在 哪里？?	フロント は どこ です か?
请问 信息 台 在 哪里？?	情報 台 は どこ です か？?
接待处 在 哪里？?	受付 は どこ です か？?
游客 信息中心 在 哪里？?	観光 案内 所 は どこ です か？?
大使馆 在 哪里？?	大使 館 は どこ です か？?
领事馆 在 哪里？?	領事 館 は どこ です か？?
警察局 在 哪里？?	警察 署 は どこ です か？?
医院 在 哪里？?	病院 は どこ です か？?
诊所 在 哪里？?	診療 所 は どこ です か?
哪里 有 药店？?	薬店 は どこ です か？?
牙医 在 哪里？?	歯 医者 さん は どこ です か？?
医生 在 哪里？?	医師 は どこ です か?
图书馆 在 哪里？?	図書 館 は どこ です か?
博物馆 在 哪里？?	博物 館 は どこ です か？?
美术馆 在 哪里？?	美術 館 は どこ です か?
哪里 是 剧院？?	劇場 は どこ です か?
电影院 在 哪里？?	映画 館 は どこ です か？?
公园 在 哪里？?	公園 は どこ です か？?
游乐场 在 哪里？?	遊園 地 は どこ です か？?
体育场 在 哪里？?	体育 館 は どこ です か？?
海滩 在 哪里？?	ビーチ は どこ です か?
银行 在 哪里？?	銀行 は どこ です か？?
自动 取款机 在 哪里？?	自動 預金 機 は どこ です か？?
超市 在 哪里？?	スーパー は どこ です か？?
哪里 有 超市？?	スーパー は どこ です か？?
便利店 在 哪里？?	コンビニ は どこ です か？?
哪里 是 面包店？?	パン 屋 さん は どこ です か?
屠夫 在 哪里？?	肉屋 は どこ です か?
市场 在 哪里？?	市場 は どこ です か？?
购物中心 在 哪里？?	ショッピング センター は どこ です か？?
哪里 有 百货商店？?	百貨 店 は どこ に あり ます か？?
邮局 在 哪里？?	郵便 局 は どこ です か？?
市政厅 在 哪里？?	市 役所 は どこ です か？?
法院 在 哪里？?	裁判 所 は どこ です か?
大学 在 哪里？?	大学 は どこ です か?
学校 在 哪里？?	学校 は どこ です か?
教室 在 哪里？?	教室 は どこ です か？?
食堂 在 哪里？?	食堂 は どこ です か？?
餐厅 在 哪里？?	レストラン は どこ です か?
咖啡馆 在 哪里？?	喫茶 店 は どこ です か？?
酒吧 在 哪里？?	バー は どこ です か?
停车场 在 哪里？?	駐車 場 は どこ です か？?
加油站 在 哪里？?	ガソリン スタンド は どこ です か？?
